"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","gene_biotype"
"1","ENSGALG00000000011",1658.61094351322,0.510857916058888,0.167096659784508,0.000939932726687267,0.0092700076635365,NA,"protein_coding"
"2","ENSGALG00000000044",331.857984500294,-0.674149589834249,0.351458047086324,0.0115574247870037,0.0486189615266516,NA,"protein_coding"
"3","ENSGALG00000000067",604.563402520505,-0.742757992306609,0.261937600185841,0.000962992722417222,0.00942833197179349,NA,"protein_coding"
"4","ENSGALG00000000102",402.715182509585,-0.747903816502319,0.330406977928721,0.0044117858697291,0.0261416102240602,NA,"protein_coding"
"5","ENSGALG00000000104",65.8046071824901,-1.49592262680849,0.548296668207977,0.000399689990472799,0.0050669541998543,NA,"protein_coding"
"6","ENSGALG00000000106",1825.14758098505,0.564178608846948,0.109587483381758,1.02306686476035e-07,1.01925203916294e-05,NA,"protein_coding"
"7","ENSGALG00000000141",113.527640873742,-1.98427776072792,0.754489811114624,0.000368628320559494,0.00476665284010364,"BLB1","protein_coding"
"8","ENSGALG00000000150",25688.5518557476,-0.452536008886926,0.105471926866513,9.09426237351452e-06,0.000338329583743787,"RPL9","protein_coding"
"9","ENSGALG00000000168",297.603041416585,1.62460059969516,0.736782527456256,0.00131560855750558,0.0115482570357189,"ADORA1","protein_coding"
"10","ENSGALG00000000184",24.0694212937024,-0.916708218810472,0.600393653973884,0.0116415137880896,0.0489107251815704,NA,"protein_coding"
"11","ENSGALG00000000208",712.754956785158,-0.837591966288435,0.358189087018912,0.00292032830943824,0.0197837377674352,NA,"protein_coding"
"12","ENSGALG00000000220",5434.19605010747,0.797418408269178,0.392833389264616,0.00686066491486044,0.034714767606499,NA,"protein_coding"
"13","ENSGALG00000000251",29.1212381588239,-0.784291212885953,0.41103039872067,0.00884632997985846,0.0408879231440149,"CD79B","protein_coding"
"14","ENSGALG00000000277",21.6148333064748,-1.09385533260442,0.871784370051814,0.0107159891910922,0.0464633407364179,"GNRH1","protein_coding"
"15","ENSGALG00000000299",45.7516464908888,-0.461492484469447,0.937791308523333,0.00191239775416072,0.0150214797313453,NA,"protein_coding"
"16","ENSGALG00000000309",71.7940527004945,-2.27255396866262,1.34479834428713,0.00208185035620298,0.015888468585496,NA,"protein_coding"
"17","ENSGALG00000000311",376.583998128704,-1.58466329640061,0.425682100957156,1.35308501937781e-05,0.000457971232854286,NA,"protein_coding"
"18","ENSGALG00000000336",3017.49599398947,-0.556791121443918,0.253199140435118,0.00912322735887739,0.0417074959667798,NA,"protein_coding"
"19","ENSGALG00000000337",190.023361195559,-1.29819559046214,0.40882076011929,0.000123657580829151,0.00226907157163501,NA,"protein_coding"
"20","ENSGALG00000000349",4997.76202197316,-0.335665117181141,0.132685378320413,0.00753083397332426,0.036924575128815,"PSMC5","protein_coding"
"21","ENSGALG00000000364",82.9677926390726,-1.64335666466777,0.494042317996678,5.56959482568446e-05,0.00131478226447282,NA,"protein_coding"
"22","ENSGALG00000000367",680.243465480085,0.85908970362697,0.501492081877245,0.0101794451718459,0.0447530132536351,NA,"protein_coding"
"23","ENSGALG00000000379",958.766606216941,-1.27623353318198,0.580515487534875,0.00182186910423791,0.0144921155401098,"ITGB3","protein_coding"
"24","ENSGALG00000000390",1290.19753269957,0.501764931246851,0.143805556280384,0.000214064033902894,0.00329368321415535,NA,"protein_coding"
"25","ENSGALG00000000402",652.056138715365,-1.43728242634794,0.829710146458048,0.00353858789776455,0.0225350158863055,"LOXL2","protein_coding"
"26","ENSGALG00000000424",2721.34760474745,-1.27797806868416,0.580246549343956,0.00179833894891922,0.0143557759281311,"CMTM3","protein_coding"
"27","ENSGALG00000000442",3169.44202667043,0.649961229336427,0.22152623687248,0.000930848412589928,0.00919584364572033,"KCNA2","protein_coding"
"28","ENSGALG00000000452",181.785500458372,-1.56748710836266,0.632860275561557,0.000710308357944637,0.00763303835706931,"TNFRSF10B","protein_coding"
